timestep,frequency,period,aIndex,aName,x,y,z,scalar,i,j,k,dXB,dYB,dZB,dRoll,dPitch,dYaw
1,9.921499518626892,0.0,5,hover,0.0,0.0,-1.48046422005,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,0.410958588123,0.0,0.0,0.0
2,9.926125068630606,0.0,5,hover,0.0,0.0,-1.41911220551,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,0.695987582207,0.0,0.0,0.0
3,9.932636315197442,0.0,5,hover,0.0,0.0,-1.35205447674,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,0.640255749226,0.0,0.0,0.0
4,9.914862232644339,0.0,5,hover,0.0,0.0,-1.29192173481,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,0.538689017296,0.0,0.0,0.0
5,9.922391421089113,0.0,5,hover,0.0,0.0,-1.24181437492,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,0.446254700422,0.0,0.0,0.0
6,9.868462970065009,0.0,5,hover,0.0,0.0,-1.20148551464,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,0.370754480362,0.0,0.0,0.0
7,9.930261189082714,0.0,5,hover,0.0,0.0,-1.16706562042,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,0.306217104197,0.0,0.0,0.0
8,9.934683126948185,0.0,5,hover,0.0,0.0,-1.13939487934,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,0.254411637783,0.0,0.0,0.0
9,9.923353916767217,0.0,5,hover,0.0,0.0,-1.11576735973,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,0.210293188691,0.0,0.0,0.0
10,9.906548854830215,1.0,5,hover,0.0,0.0,-1.09623122215,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,0.173939928412,0.0,0.0,0.0
11,9.92828670169957,1.0,5,hover,0.0,0.0,-1.08049952984,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,0.144785523415,0.0,0.0,0.0
12,9.933459643804472,1.0,5,hover,0.0,0.0,-1.06703817844,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,0.119957081974,0.0,0.0,0.0
13,9.935436189465506,1.0,9,move_right,0.00110040185973,-0.0019059489714,-1.05488908291,0.257374584675,0.0273099914193,-0.101922117174,-0.960533380508,0.0416039712727,-0.0720600709319,0.112698540092,2.81960940361,5.26409706936e-08,-2.23730500792e-09
14,9.933789013466722,1.0,9,move_right,0.0122511340305,-0.0212195441127,-1.04118907452,0.253932774067,0.050056848675,-0.186814367771,-0.947688221931,0.188797459006,-0.327006161213,0.178315520287,1.17050588131,3.02607787717e-07,-3.94798238545e-09
