timestep,frequency,period,aIndex,aName,x,y,z,scalar,i,j,k,dXB,dYB,dZB,dRoll,dPitch,dYaw
1,19.463940489393988,0.0,5,hover,0.0,0.0,-1.49888002872,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,-0.106956571341,0.0,0.0,0.0
2,19.628443737276832,0.0,5,hover,0.0,0.0,-1.51303350925,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,-0.448292791843,0.0,0.0,0.0
3,19.67355707216398,0.0,5,hover,0.0,0.0,-1.54457402229,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,-0.788117051125,0.0,0.0,0.0
4,19.731772720002258,0.0,5,hover,0.0,0.0,-1.59336078167,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,-1.12436938286,0.0,0.0,0.0
5,19.482745966936545,0.0,5,hover,0.0,0.0,-1.65917384624,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,-1.45557010174,0.0,0.0,0.0
6,19.736879502708096,0.0,5,hover,0.0,0.0,-1.74171984196,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,-1.78032886982,0.0,0.0,0.0
7,19.680018768328445,0.0,5,hover,0.0,0.0,-1.83437240124,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,-2.0789539814,0.0,0.0,0.0
8,19.402982865178934,0.0,5,hover,0.0,0.0,-1.95550119877,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,-2.40553855896,0.0,0.0,0.0
9,19.741896007192043,0.0,5,hover,0.0,0.0,-2.08583426476,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,-2.70383381844,0.0,0.0,0.0
10,19.737436766193735,0.0,5,hover,0.0,0.0,-2.22216081619,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,-2.97479391098,0.0,0.0,0.0
11,19.334648645658547,0.0,5,hover,0.0,0.0,-2.39076352119,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,-3.26753687859,0.0,0.0,0.0
12,19.66442562847525,0.0,5,hover,0.0,0.0,-2.56419634819,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,-3.53170442581,0.0,0.0,0.0
13,19.72546253186226,0.0,5,hover,0.0,0.0,-2.75078749657,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,-3.7835111618,0.0,0.0,0.0
14,19.73855138757512,0.0,5,hover,0.0,0.0,-2.93785262108,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,-4.0089931488,0.0,0.0,0.0
15,19.747844797144914,0.0,5,hover,0.0,0.0,-3.14816021919,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,-4.23622703552,0.0,0.0,0.0
16,19.75435539249163,0.0,5,hover,0.0,0.0,-3.36973261833,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,-4.45075464249,0.0,0.0,0.0
17,19.455724503901067,0.0,5,hover,0.0,0.0,-3.60192465782,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,-4.65269422531,0.0,0.0,0.0
18,19.362943471135424,0.0,5,hover,0.0,0.0,-3.84409832954,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,-4.84226036072,0.0,0.0,0.0
19,19.71470740305523,0.0,5,hover,0.0,0.0,-4.09563064575,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,-5.01974964142,0.0,0.0,0.0
20,19.74756586753046,1.0,5,hover,0.0,0.0,-4.35591459274,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,-5.18552780151,0.0,0.0,0.0
21,19.445982660299503,1.0,5,hover,0.0,0.0,-4.62436342239,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,-5.3400182724,0.0,0.0,0.0
22,19.72945232864985,1.0,5,hover,0.0,0.0,-4.90041351318,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,-5.48368263245,0.0,0.0,0.0
23,19.683435951344045,1.0,5,hover,0.0,0.0,-5.18352508545,0.258819401264,0.0,0.0,-0.965925753117,0.0,0.0,-5.6170167923,0.0,0.0,0.0
24,19.74096683249634,1.0,9,move_right,2.71151293418e-05,-4.69647056889e-05,-5.4701294899,0.25864303112,0.0095523847267,-0.0356499291956,-0.965267658234,0.00365958060138,-0.0063385698013,-5.60213422775,3.17609882355,4.05747300647e-07,-3.17553805473e-09
25,19.75026251724609,1.0,9,move_right,0.00100472231861,-0.00174022698775,-5.75700616837,0.257511049509,0.0259918123484,-0.0970026403666,-0.961042702198,0.0414103604853,-0.0717247202992,-5.66077804565,2.61117148399,-1.01769830962e-06,5.56833645859e-09
26,19.59332548535979,1.0,9,move_right,0.00474452925846,-0.00821775011718,-6.0466375351,0.256105989218,0.0373799093068,-0.139503493905,-0.955798745155,0.109071627259,-0.188917294145,-5.6888718605,0.599128365517,7.62163494983e-07,3.81574771779e-09
27,19.692862441662832,1.0,9,move_right,0.0125552285463,-0.0217462535948,-6.33866262436,0.255763053894,0.0396582521498,-0.148006394506,-0.954519093037,0.193574145436,-0.335279732943,-5.73302745819,-0.00099266320467,1.16259866445e-06,1.23522845286e-08
28,19.74087391983734,1.0,9,move_right,0.0236632842571,-0.0409859456122,-6.62603473663,0.255859941244,0.0390280857682,-0.145654559135,-0.954880774021,0.235830053687,-0.408468961716,-5.4979186058,-0.20554959774,5.9545931208e-07,1.23323804502e-08
29,19.754913643278684,1.0,9,move_right,0.0362582914531,-0.0628011003137,-6.89730787277,0.256095975637,0.0374464392662,-0.139751791954,-0.955762505531,0.256425321102,-0.444140940905,-5.13047981262,-0.267912566662,1.05122296645e-06,1.1660370447e-08
30,19.604956506700447,1.0,9,move_right,0.0497441999614,-0.0861593484879,-7.14895296097,0.256354004145,0.0356367491186,-0.132998034358,-0.956725776196,0.272276878357,-0.471596568823,-4.7379283905,-0.274107426405,-1.58143188855e-06,1.06983719661e-08
31,19.74607837598629,1.0,9,move_right,0.0640422999859,-0.110924325883,-7.38076877594,0.256595343351,0.033854547888,-0.12634678185,-0.957626819611,0.288709133863,-0.500058114529,-4.35602092743,-0.260203540325,-1.64550112913e-06,8.46628989137e-09
32,19.56070420893086,1.0,9,move_right,0.0792265608907,-0.137224182487,-7.59364271164,0.256810754538,0.0321778506041,-0.120089396834,-0.958431720734,0.307114213705,-0.531936705112,-3.99604845047,-0.241473957896,1.89104071069e-07,4.55441018232e-09
33,19.74821671555495,1.0,9,move_right,0.09442307055,-0.163545280695,-7.7777762413,0.256990641356,0.0307068470865,-0.114599660039,-0.959103703499,0.326378911734,-0.565304219723,-3.67995071411,-0.221320003271,-2.31278409046e-06,1.56308410659e-09
